plano,fecha,corte,punto,x_m,z_msnm
2014-01,enero 2014,1,1,0,230.602
2014-01,enero 2014,1,2,43.468,232.557
2014-01,enero 2014,1,3,61.808,234.373
2014-01,enero 2014,1,4,98.715,237.492
2014-01,enero 2014,1,5,119.332,239.153
2014-01,enero 2014,1,6,125.28,239.716
2014-01,enero 2014,1,7,169.379,239.587
2014-01,enero 2014,1,8,172.381,239.548
2014-01,enero 2014,1,9,176.531,239.542
2014-01,enero 2014,1,10,217.091,239.922
2014-01,enero 2014,1,11,237.287,227.242
2014-01,enero 2014,1,12,239.522,226.007
2014-01,enero 2014,1,13,239.522,226.007
2014-01,enero 2014,1,14,243.223,225.804
2014-01,enero 2014,1,15,262.412,225.695
2014-01,enero 2014,1,16,284.234,225.795
2014-01,enero 2014,1,17,298.775,225.723
2014-01,enero 2014,1,18,307.354,225.836
2014-01,enero 2014,1,19,314.111,228.274
2014-01,enero 2014,1,20,327.952,228.912
2014-01,enero 2014,1,21,330.656,229.787
2014-01,enero 2014,1,22,337.67,229.73
2014-01,enero 2014,1,23,355.209,229.735
2014-01,enero 2014,1,24,378.405,230.435
2014-01,enero 2014,1,25,397.489,230.73
2014-01,enero 2014,1,26,398.721,230.724
2014-01,enero 2014,1,27,408.809,230.99
2014-01,enero 2014,1,28,494.972,233.249
2014-01,enero 2014,1,29,513.813,236.715
2014-01,enero 2014,1,30,531.922,239.46
2014-01,enero 2014,1,31,552.678,238.143
2014-01,enero 2014,1,32,625.94,236.538
2014-01,enero 2014,2,1,0,242.912
2014-01,enero 2014,2,2,5.761,242.802
2014-01,enero 2014,2,3,41.048,243.058
2014-01,enero 2014,2,4,49.825,243.052
2014-01,enero 2014,2,5,81.751,243.003
2014-01,enero 2014,2,6,93.726,242.999
2014-01,enero 2014,2,7,102.683,243.229
2014-01,enero 2014,2,8,111.618,243.256
2014-01,enero 2014,2,9,127.593,243.354
2014-01,enero 2014,2,10,144.763,243.5
2014-01,enero 2014,2,11,151.981,243.509
2014-01,enero 2014,2,12,170.522,243.448
2014-01,enero 2014,2,13,175.647,239.8
2014-01,enero 2014,2,14,178.131,236.807
2014-01,enero 2014,2,15,210.65,236.621
2014-01,enero 2014,2,16,233.941,236.801
2014-01,enero 2014,2,17,238.493,236.304
2014-01,enero 2014,2,18,240.689,235.886
2014-01,enero 2014,2,19,243.419,235.447
2014-01,enero 2014,2,20,253.595,232.935
2014-01,enero 2014,2,21,281.278,231.346
2014-01,enero 2014,2,22,281.278,231.346
2014-01,enero 2014,2,23,290.972,231.54
2014-01,enero 2014,2,24,297.766,232.262
2014-01,enero 2014,2,25,301.867,238.27
2014-01,enero 2014,2,26,306.496,243.827
2014-01,enero 2014,2,27,316.251,243.776
2014-01,enero 2014,2,28,321.884,243.663
2014-01,enero 2014,2,29,364.198,243.3
2014-01,enero 2014,2,30,377.82,243.148
2014-01,enero 2014,2,31,382.947,243.187
2014-01,enero 2014,3,1,0,243.829
2014-01,enero 2014,3,2,37.381,243.943
2014-01,enero 2014,3,3,44.866,243.929
2014-01,enero 2014,3,4,58.08,244.039
2014-01,enero 2014,3,5,62.136,244.066
2014-01,enero 2014,3,6,68.384,244.172
2014-01,enero 2014,3,7,80.508,237.455
2014-01,enero 2014,3,8,80.713,237.364
2014-01,enero 2014,3,9,80.795,237.362
2014-01,enero 2014,3,10,93.669,235.386
2014-01,enero 2014,3,11,101.793,235.347
2014-01,enero 2014,3,12,103.237,235.345
2014-01,enero 2014,3,13,103.633,235.346
2014-01,enero 2014,3,14,105.33,235.389
2014-01,enero 2014,3,15,107.163,235.591
2014-01,enero 2014,3,16,168.041,239.015
2014-01,enero 2014,3,17,177.218,238.656
2014-01,enero 2014,3,18,179.96,238.52
2014-01,enero 2014,3,19,197.164,237.746
2014-01,enero 2014,3,20,226.108,236.456
2014-01,enero 2014,3,21,229.219,236.18
2014-01,enero 2014,3,22,246.138,239.124
2014-01,enero 2014,3,23,247.325,239.125
2014-01,enero 2014,3,24,259.042,238.774
2014-01,enero 2014,3,25,267.304,238.877
2014-01,enero 2014,3,26,321.107,235.472
2014-01,enero 2014,3,27,355.879,235.19
2014-01,enero 2014,3,28,366.264,235.33
2014-01,enero 2014,3,29,372.724,235.882
2014-01,enero 2014,3,30,381.567,235.063
2014-01,enero 2014,3,31,392.522,239.437
2014-01,enero 2014,3,32,394.438,239.926
2014-01,enero 2014,3,33,399.8,244.843
2014-01,enero 2014,3,34,399.836,244.867
2014-01,enero 2014,3,35,399.842,244.868
2014-01,enero 2014,3,36,400.876,243.774
2014-01,enero 2014,3,37,406.75,243.155
2014-01,enero 2014,3,38,417.206,245.127
2014-01,enero 2014,3,39,436.343,245.239
